,date,neg,neu,pos,compound
93,2024-03-05,0.0688,0.8448,0.0862,-0.14742
94,2024-03-06,0.0944,0.7647999999999999,0.1406,0.18178000000000002
95,2024-03-07,0.11100000000000002,0.7872,0.1018,0.06360000000000002
96,2024-03-08,0.07666666666666666,0.8052222222222222,0.11811111111111111,0.20661111111111113
97,2024-03-09,0.08775,0.841,0.07125000000000001,-0.010599999999999998
98,2024-03-10,0.08,0.8283333333333333,0.09133333333333334,-0.18036666666666668
99,2024-03-11,0.048999999999999995,0.7723333333333334,0.17866666666666667,0.18033333333333332
100,2024-03-12,0.07185714285714286,0.8518571428571429,0.07614285714285714,0.17935714285714285
101,2024-03-13,0.036272727272727276,0.8079090909090909,0.15581818181818183,0.7054181818181818
102,2024-03-14,0.10825,0.792,0.0995,-0.08114999999999997
103,2024-03-15,0.1002,0.7554000000000001,0.1446,0.09662
104,2024-03-16,0.026,0.765,0.20900000000000002,0.76075
105,2024-03-17,0.08683333333333333,0.815,0.09816666666666667,-0.0821
106,2024-03-18,0.057,0.798,0.14475,0.52645
107,2024-03-19,0.097,0.8172,0.086,-0.16680000000000003
108,2024-03-20,0.0985,0.7777499999999999,0.12375,0.4297
109,2024-03-21,0.055833333333333325,0.8128333333333333,0.13133333333333333,0.4953666666666667
110,2024-03-22,0.06999999999999999,0.7774,0.1524,0.1944
111,2024-03-23,0.09116666666666667,0.7978333333333333,0.11083333333333334,-0.03358333333333333
112,2024-03-24,0.09418181818181819,0.8157272727272727,0.09,0.1652090909090909
113,2024-03-25,0.11373333333333333,0.7812,0.10506666666666667,-0.017159999999999998
114,2024-03-26,0.10569999999999999,0.7952,0.099,-0.02601
115,2024-03-27,0.04375,0.767,0.1895,0.46495
116,2024-03-28,0.058875,0.8545,0.08662500000000001,0.2650125
117,2024-03-29,0.13116666666666665,0.8011666666666667,0.06766666666666667,-0.23196666666666665
118,2024-03-30,0.08614285714285715,0.8231428571428571,0.09085714285714286,-0.03001428571428574
119,2024-03-31,0.09349999999999999,0.7911666666666667,0.11549999999999999,0.14613333333333334
120,2024-04-01,0.07666666666666666,0.8374444444444444,0.08622222222222223,-0.1344
121,2024-04-02,0.06820000000000001,0.8465999999999999,0.0854,0.44434000000000007
122,2024-04-03,0.060111111111111115,0.8143333333333334,0.12533333333333335,0.49444444444444446
123,2024-04-04,0.0834,0.7916000000000001,0.125,0.08814000000000001
124,2024-04-05,0.0763,0.7884,0.1351,0.50489
125,2024-04-06,0.1331111111111111,0.7692222222222223,0.09777777777777778,-0.011233333333333342
126,2024-04-07,0.06433333333333334,0.878,0.056999999999999995,-0.03706666666666669
127,2024-04-08,0.08071428571428572,0.7925714285714286,0.127,0.060300000000000006
128,2024-04-09,0.0688,0.764,0.1675,0.65367
129,2024-04-10,0.0965,0.84075,0.062625,-0.41564999999999996
130,2024-04-11,0.07037500000000001,0.795875,0.133625,0.24936250000000001
131,2024-04-12,0.0255,0.835,0.13975,0.550375
132,2024-04-13,0.04725000000000001,0.8054166666666666,0.14725,0.5315166666666666
133,2024-04-14,0.062285714285714285,0.7862857142857143,0.151,0.7490142857142857
134,2024-04-15,0.07271428571428572,0.7821428571428571,0.14514285714285716,0.24071428571428571
135,2024-04-16,0.1269090909090909,0.748,0.125,-0.0921818181818182
136,2024-04-17,0.10528571428571429,0.8171428571428571,0.07757142857142858,-0.11905714285714286
137,2024-04-18,0.105,0.778,0.11711111111111111,0.09978888888888889
138,2024-04-19,0.0999,0.8138,0.0863,0.015279999999999993
139,2024-04-20,0.0721,0.8408,0.087,0.07494999999999999
140,2024-04-21,0.10354545454545455,0.7866363636363637,0.10981818181818181,0.010781818181818186
141,2024-04-22,0.05611111111111111,0.8116666666666666,0.1322222222222222,0.36327777777777776
142,2024-04-23,0.0874,0.8164,0.0963,0.11154000000000001
143,2024-04-24,0.11857142857142858,0.7745714285714286,0.10671428571428572,0.012628571428571433
144,2024-04-25,0.099,0.8247,0.0764,-0.11082
145,2024-04-26,0.05611111111111111,0.8307777777777778,0.1131111111111111,0.1548
146,2024-04-27,0.0469,0.8652,0.0879,0.32491
147,2024-04-28,0.094875,0.80925,0.096,-0.018324999999999994
148,2024-04-29,0.07444444444444444,0.7882222222222223,0.13744444444444445,0.42565555555555556
