,date,neg,neu,pos,compound
93,2024-01-13,0.014199999999999999,0.1524,0.033600000000000005,0.16824
94,2024-01-14,0.029,0.422,0.049,0.46925
95,2024-01-15,0.00425,0.47,0.026000000000000002,0.11054999999999998
96,2024-01-16,0.015,0.316,0.06899999999999999,0.38239999999999996
97,2024-01-17,0.038142857142857145,0.6057142857142858,0.07042857142857142,0.3014428571428572
98,2024-01-18,0.042749999999999996,0.8235,0.1335,0.748275
99,2024-01-19,0.006999999999999999,0.44683333333333336,0.04616666666666667,0.27343333333333336
100,2024-01-20,0.05533333333333334,0.8833333333333333,0.06133333333333333,0.2281
101,2024-01-21,0.024636363636363633,0.647,0.05563636363636364,0.4142090909090909
102,2024-01-22,0.035199999999999995,0.6606,0.1042,0.6955
103,2024-01-23,0.014166666666666666,0.6783333333333333,0.14083333333333334,0.6924666666666667
104,2024-01-24,0.037000000000000005,0.7531111111111112,0.09877777777777778,0.1539777777777778
105,2024-01-25,0.024428571428571428,0.4655714285714286,0.08157142857142859,0.12875714285714285
106,2024-01-26,0.0118,0.42393333333333333,0.030999999999999996,0.21247999999999997
107,2024-01-27,0.04030769230769231,0.4543076923076923,0.04369230769230769,0.16918461538461538
108,2024-01-28,0.012750000000000001,0.599,0.138,0.626225
109,2024-01-29,0.0,0.10785714285714286,0.034999999999999996,0.12748571428571429
110,2024-01-30,0.0178,0.25060000000000004,0.0315,-0.07506
111,2024-01-31,0.02425,0.3145,0.036125,0.24048750000000002
112,2024-02-01,0.023583333333333335,0.6051666666666667,0.03783333333333334,0.049249999999999995
113,2024-02-02,0.017375,0.431,0.051500000000000004,0.36385
114,2024-02-03,0.0663,0.5580999999999999,0.0754,0.06764999999999999
115,2024-02-04,0.038,0.3222,0.04,0.03002
116,2024-02-05,0.04428571428571428,0.477,0.05028571428571428,0.13582857142857144
117,2024-02-06,0.00675,0.5569999999999999,0.06125,0.431525
118,2024-02-07,0.04354545454545455,0.46609090909090906,0.03609090909090909,-0.13187272727272725
119,2024-02-08,0.022833333333333334,0.2245,0.08600000000000001,-0.1203
120,2024-02-09,0.005875,0.327875,0.041249999999999995,0.13995
121,2024-02-10,0.016666666666666666,0.3006666666666667,0.016,-0.016666666666666666
122,2024-02-11,0.016125,0.746625,0.112125,0.3107625
123,2024-02-12,0.017499999999999998,0.43766666666666665,0.044833333333333336,0.3166
124,2024-02-13,0.0444,0.78,0.176,0.7922
125,2024-02-14,0.024,0.454,0.0225,0.04425
126,2024-02-15,0.0198,0.5342,0.04560000000000001,0.41806
127,2024-02-16,0.058444444444444445,0.4298888888888889,0.06733333333333333,0.06517777777777778
128,2024-02-17,0.08249999999999999,0.7765,0.1415,0.12040000000000001
129,2024-02-18,0.02,0.432875,0.04725,0.11195
130,2024-02-19,0.027333333333333334,0.606,0.03333333333333333,0.1317888888888889
131,2024-02-20,0.03436363636363637,0.8059090909090909,0.06872727272727273,0.3397454545454546
132,2024-02-21,0.02957142857142857,0.6525714285714285,0.03214285714285715,-0.19204285714285715
133,2024-02-22,0.034727272727272725,0.6067272727272727,0.08581818181818182,0.4512
134,2024-02-23,0.03788888888888889,0.25866666666666666,0.03666666666666667,-0.10987777777777778
135,2024-02-24,0.0,0.596,0.07066666666666667,0.32413333333333333
136,2024-02-25,0.031,0.5703333333333332,0.06533333333333334,0.2919
137,2024-02-26,0.043000000000000003,0.8418571428571429,0.1152857142857143,0.5524285714285714
138,2024-02-27,0.017875,0.32875,0.02825,0.1855625
139,2024-02-28,0.012444444444444445,0.5708888888888889,0.08344444444444445,0.4347888888888889
140,2024-02-29,0.011000000000000001,0.504,0.10999999999999999,0.46849999999999997
141,2024-03-01,0.0245,0.19187500000000002,0.033625,-0.008999999999999994
142,2024-03-02,0.029200000000000004,0.7184,0.0524,0.37938
143,2024-03-03,0.0432,0.6602,0.09659999999999999,0.26516
144,2024-03-04,0.045,0.6165714285714285,0.052714285714285714,-0.13994285714285717
145,2024-03-05,0.015,0.7031666666666667,0.11499999999999999,0.6531
146,2024-03-06,0.0515,0.843125,0.105375,0.2166625
147,2024-03-07,0.04516666666666667,0.7101666666666667,0.07816666666666666,0.15208333333333335
148,2024-03-08,0.05042857142857143,0.8651428571428571,0.08428571428571428,0.16899999999999998
149,2024-03-09,0.05385714285714286,0.5622857142857143,0.098,0.0796142857142857
150,2024-03-10,0.0465,0.88,0.07350000000000001,0.4499125
151,2024-03-11,0.005,0.374875,0.120125,0.3102375
152,2024-03-12,0.03766666666666666,0.4003333333333334,0.062,0.1883
153,2024-03-13,0.0,0.5753333333333334,0.09133333333333334,0.4933
154,2024-03-14,0.08320000000000001,0.8436,0.0732,0.005619999999999981
155,2024-03-15,0.04650000000000001,0.71,0.07733333333333334,0.26666666666666666
156,2024-03-16,0.0872,0.8168,0.0958,-0.12023999999999999
157,2024-03-17,0.043500000000000004,0.41250000000000003,0.044000000000000004,0.030916666666666665
158,2024-03-18,0.044000000000000004,0.39966666666666667,0.056499999999999995,0.27776666666666666
159,2024-03-19,0.022714285714285715,0.7517142857142858,0.08271428571428571,0.4422857142857143
160,2024-03-20,0.01125,0.68625,0.0525,0.43105
161,2024-03-21,0.049,0.5820000000000001,0.06899999999999999,0.17752
162,2024-03-22,0.038,0.5957142857142858,0.08057142857142859,0.35728571428571426
163,2024-03-23,0.0758,0.6816,0.042600000000000006,-0.44414
164,2024-03-24,0.042666666666666665,0.6655000000000001,0.12516666666666668,0.37736666666666663
165,2024-03-25,0.038400000000000004,0.696,0.0656,0.11692
166,2024-03-26,0.0575,0.4125,0.03,-0.49515
167,2024-03-27,0.0036,0.8892,0.1072,0.6189199999999999
168,2024-03-28,0.017400000000000002,0.526,0.0568,0.42176
169,2024-03-29,0.0445,0.83675,0.11875,0.662925
170,2024-03-30,0.0695,0.833,0.0985,0.005599999999999994
171,2024-03-31,0.0608,0.6474,0.0918,0.19255
172,2024-04-01,0.02142857142857143,0.7917142857142857,0.04385714285714286,0.3481428571428572
173,2024-04-02,0.06844444444444445,0.6522222222222223,0.05711111111111111,-0.06183333333333333
174,2024-04-03,0.03,0.6752,0.0948,0.2951
175,2024-04-04,0.013666666666666667,0.40455555555555556,0.13722222222222222,0.24274444444444443
176,2024-04-05,0.033,0.6308571428571429,0.05042857142857143,0.27477142857142856
177,2024-04-06,0.0388,0.6822,0.079,-0.008159999999999983
178,2024-04-07,0.05466666666666667,0.8513333333333333,0.09433333333333332,0.19103333333333336
179,2024-04-08,0.043333333333333335,0.8300000000000001,0.12733333333333333,0.43406666666666666
180,2024-04-09,0.0634,0.6487999999999999,0.08780000000000002,-0.13504
181,2024-04-10,0.0443,0.6889000000000001,0.0668,0.16484000000000001
182,2024-04-11,0.0523,0.8599,0.0876,0.31202
183,2024-04-12,0.01146153846153846,0.5236923076923077,0.08015384615384616,0.4423923076923077
184,2024-04-13,0.05375,0.40349999999999997,0.04275,0.07804999999999998
185,2024-04-14,0.05323076923076923,0.7305384615384616,0.1393076923076923,0.5938461538461538
186,2024-04-15,0.04829411764705882,0.5489411764705883,0.04988235294117647,-0.06411764705882352
187,2024-04-16,0.05488888888888889,0.846,0.09933333333333333,0.2450777777777778
188,2024-04-17,0.03076923076923077,0.5965384615384616,0.06492307692307693,0.15543846153846155
189,2024-04-18,0.02711111111111111,0.5171111111111111,0.12233333333333334,0.25889999999999996
190,2024-04-19,0.0655,0.8184999999999999,0.11599999999999999,0.49632499999999996
191,2024-04-20,0.031222222222222224,0.6545555555555556,0.09188888888888888,0.5275555555555556
192,2024-04-21,0.045500000000000006,0.7121666666666666,0.07533333333333332,0.3235333333333333
193,2024-04-22,0.052083333333333336,0.6859999999999999,0.09508333333333334,0.5213666666666666
194,2024-04-23,0.0157,0.6397,0.14450000000000002,0.63564
195,2024-04-24,0.017944444444444443,0.4448333333333333,0.09283333333333334,0.36367222222222223
196,2024-04-25,0.03318181818181818,0.7460909090909091,0.1298181818181818,0.48656363636363636
197,2024-04-26,0.0142,0.6597999999999999,0.126,0.5960599999999999
198,2024-04-27,0.0395,0.769625,0.06575,0.234775
199,2024-04-28,0.025285714285714283,0.5722857142857143,0.1167142857142857,0.2561285714285714
200,2024-04-29,0.0269,0.6917,0.08149999999999999,0.44414
